Block Chrom StartBP EndBP
267 7 142656310 147815318
268 7 147815318 150711505
269 7 150711505 153674019
270 7 153674019 156065250
271 7 156065250 159128575
272 8 10422 2573279
273 8 2573279 4480476
274 8 4480476 7153079
275 8 7153079 13491775
276 8 13491775 17387876
277 8 17387876 19492840
278 8 19492840 22897057
279 8 22897057 26682525
280 8 26682525 31133729
281 8 31133729 38938806
282 8 38938806 53302930
283 8 53302930 59068651
284 8 59068651 65232872
285 8 65232872 70867979
286 8 70867979 73817199
287 8 73817199 81956395
288 8 81956395 90638162
289 8 90638162 96534806
290 8 96534806 101620958
291 8 101620958 104123306
292 8 104123306 111850847
293 8 111850847 119685457
294 8 119685457 124861459
295 8 124861459 128659111
296 8 128659111 133351144
297 8 133351144 136035605
298 8 136035605 140725643
299 8 140725643 146303867
300 9 10023 1916877
301 9 1916877 3190064
302 9 3190064 4884926
303 9 4884926 8456299
304 9 8456299 10879253
305 9 10879253 14836363
306 9 14836363 18661051
307 9 18661051 22206559
308 9 22206559 25330810
309 9 25330810 28224283
310 9 28224283 33578334
311 9 33578334 38641599
312 9 38641599 76203946
313 9 76203946 78900183
314 9 78900183 82590928
315 9 82590928 86938196
316 9 86938196 90136246
317 9 90136246 94167203
318 9 94167203 101592859
319 9 101592859 107581749
320 9 107581749 110695062
321 9 110695062 114831082
322 9 114831082 117921960
323 9 117921960 122260297
324 9 122260297 126971887
325 9 126971887 133223217
326 9 133223217 137041122
327 9 137041122 141144796
328 10 60523 3352699
329 10 3352699 5983762
330 10 5983762 7171484
331 10 7171484 10249396
332 10 10249396 12586797
333 10 12586797 15026068
334 10 15026068 18537267
335 10 18537267 22772283
336 10 22772283 26888684
337 10 26888684 30458838
338 10 30458838 35109355
339 10 35109355 48760450
340 10 48760450 55103572
341 10 55103572 61891409
342 10 61891409 69900148
343 10 69900148 73508512
344 10 73508512 80876749
345 10 80876749 84383745
346 10 84383745 91013381
347 10 91013381 96221243
348 10 96221243 100668400
349 10 100668400 108726686
350 10 108726686 115328432
351 10 115328432 119523934
352 10 119523934 122407323
353 10 122407323 125869346
354 10 125869346 129154362
355 10 129154362 130844284
356 10 130844284 132580245
357 10 132580245 135523865
358 11 70855 3665481
359 11 3665481 6322869
360 11 6322869 8333274
361 11 8333274 12564229
362 11 12564229 17578402
363 11 17578402 21017138
364 11 21017138 24088517
365 11 24088517 28481593
366 11 28481593 33958739
367 11 33958739 37116815
368 11 37116815 44693799
369 11 44693799 62223771
370 11 62223771 69516130
371 11 69516130 74412351
372 11 74412351 80722373
373 11 80722373 86619301
374 11 86619301 93276157
375 11 93276157 97057058
376 11 97057058 101331121
377 11 101331121 107844200
378 11 107844200 112459488
379 11 112459488 116383348
380 11 116383348 120766806
381 11 120766806 123500117
382 11 123500117 127316679
383 11 127316679 130342575
384 11 130342575 133000046
385 11 133000046 134946452
386 12 61107 2544786
387 12 2544786 4417679
388 12 4417679 6419753
389 12 6419753 9031395
390 12 9031395 12733528
391 12 12733528 16310460
392 12 16310460 20863943
393 12 20863943 25371083
394 12 25371083 29651255
395 12 29651255 40816185
396 12 40816185 47714793
397 12 47714793 53039004
398 12 53039004 57548860
399 12 57548860 65559695
400 12 65559695 69826542
401 12 69826542 76511314
402 12 76511314 80448150
403 12 80448150 89682122
404 12 89682122 94514567
405 12 94514567 97108839
406 12 97108839 101447641
407 12 101447641 104848696
408 12 104848696 109025901
409 12 109025901 115036602
410 12 115036602 117087471
411 12 117087471 119754110
412 12 119754110 126445505
413 12 126445505 129237297
414 12 129237297 130377921
415 12 130377921 133841511
416 13 19020013 22242174
417 13 22242174 23594702
418 13 23594702 25784362
419 13 25784362 29257551
420 13 29257551 32301815
421 13 32301815 36046367
422 13 36046367 41069263
423 13 41069263 46495214
424 13 46495214 51591091
425 13 51591091 60854778
426 13 60854778 70724516
427 13 70724516 73934089
428 13 73934089 77410555
